,,,,,,,,,,
,Consumer prices of petroleum products net of duties and taxes,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AT,,,,,,,,,,
,,,,,,,,,,
,Date,"ExchangeRateTo €",Euro-super 95  (I), Gas oil automobile Automotive gas oil Dieselkraftstoff (I), Gas oil de chauffage Heating gas oil Heizöl (II), Fuel oil - Schweres Heizöl (III) Soufre <= 1% Sulphur <= 1% Schwefel <= 1%,,,,
,,,1000L,1000L,1000L,t,,,,
,22/07/13,1.00000,713.26,790.6,698.85,548.66,,,,
,15/07/13,1.00000,697.98,781.64,704.42,559.29,,,,
,08/07/13,1.00000,681.43,768.15,686.46,551.79,,,,
,01/07/13,1.00000,683.18,766.75,667.53,541.64,,,,
,24/06/13,1.00000,686.32,767.48,674.38,560.68,,,,
,17/06/13,1.00000,687.98,768.5,659.88,554.14,,,,
,10/06/13,1.00000,689.39,770.87,668.68,557.34,,,,
,03/06/13,1.00000,689.4,771.54,672.4,554.65,,,,
,27/05/13,1.00000,670.09,761.03,669.12,555.81,,,,
,20/05/13,1.00000,670.09,761.03,669.12,555.81,,,,
,13/05/13,1.00000,665.47,758.69,664.03,559.17,,,,
,06/05/13,1.00000,668.08,760.59,648.12,533.96,,,,
,29/04/13,1.00000,666.31,762.11,693.19,536.87,,,,
,22/04/13,1.00000,674.64,775.34,703.16,529.84,,,,
,15/04/13,1.00000,703.51,797.58,714.76,547.53,,,,
,08/04/13,1.00000,723.2,805.96,717.5,565.33,,,,
,25/03/13,1.00000,721.39,809.35,719.33,564.83,,,,
,18/03/13,1.00000,724.11,813.24,722.52,566.76,,,,
,11/03/13,1.00000,739.33,819.69,728.92,570.33,,,,
,04/03/13,1.00000,756.85,828.45,741.75,572.82,,,,
,25/02/13,1.00000,757.26,828.21,744.69,593.5,,,,
,18/02/13,1.00000,745.23,823.29,739.65,600.95,,,,
,11/02/13,1.00000,734.08,813.75,727.66,591.13,,,,
,04/02/13,1.00000,721.9,811.52,723.84,578.09,,,,
,28/01/13,1.00000,706.02,809.88,722.17,579.36,,,,
,21/01/13,1.00000,702.34,810,722.26,571.57,,,,
,14/01/13,1.00000,699.63,807.4,718.87,584.94,,,,
,07/01/13,1.00000,685.28,804.37,712.65,546.8,,,,
,17/12/12,1.00000,681.41,811.83,719.31,558.33,,,,
,10/12/12,1.00000,684.77,822.78,729.49,547.56,,,,
,03/12/12,1.00000,684.77,822.78,729.49,547.56,,,,
,26/11/12,1.00000,684.56,821.79,730.14,574.69,,,,
,19/11/12,1.00000,681.43,821.95,731.95,571.26,,,,
,12/11/12,1.00000,680.8,825.27,736.01,575.16,,,,
,05/11/12,1.00000,697.89,840.63,743.19,575.33,,,,
,29/10/12,1.00000,718.71,860.07,761.03,577.91,,,,
,22/10/12,1.00000,754.12,892.16,768.01,581.77,,,,
,15/10/12,1.00000,758.74,933,841.85,599.37,,,,
,08/10/12,1.00000,750.26,848.8,734.24,607.03,,,,
,01/10/12,1.00000,743.84,849.72,734.85,597.72,,,,
,24/09/12,1.00000,767.67,863.58,765.51,646.46,,,,
,17/09/12,1.00000,799.34,872.01,758.6,650.1,,,,
,10/09/12,1.00000,804.56,874.26,769.21,653.03,,,,
,03/09/12,1.00000,808.89,874.36,766.25,639.18,,,,
,27/08/12,1.00000,808.43,870.94,777.32,648.75,,,,
,20/08/12,1.00000,782.6,855.65,766.38,652.11,,,,
,13/08/12,1.00000,759.6,840.52,748.61,640.44,,,,
,06/08/12,1.00000,741.2,835.24,731.77,616.94,,,,
,30/07/12,1.00000,732.68,831.79,725.3,617.54,,,,
,23/07/12,1.00000,722.15,812.31,724.88,623.7,,,,
,16/07/12,1.00000,711.71,793.31,700.37,596.64,,,,
,09/07/12,1.00000,680.31,776.58,685.52,588.77,,,,
,02/07/12,1.00000,669.61,772.24,656.82,557.71,,,,
,25/06/12,1.00000,681.05,783.64,661.13,563.27,,,,
,18/06/12,1.00000,692.2,793.22,673.45,575.88,,,,
,11/06/12,1.00000,716.32,812.57,684.61,581.4,,,,
,04/06/12,1.00000,723.89,821.11,707.38,609.85,,,,
,28/05/12,1.00000,723.94,825.11,708.12,604.64,,,,
,21/05/12,1.00000,730.46,831.41,721.57,617.45,,,,
,14/05/12,1.00000,746.73,840.39,723.04,621.36,,,,
,07/05/12,1.00000,773.06,847.27,747.19,647.02,,,,
,30/04/12,1.00000,798.8,853.02,776.78,649.04,,,,
,23/04/12,1.00000,821.93,861.09,779.2,652.37,,,,
,16/04/12,1.00000,829.68,867.56,783.2,670.12,,,,
,02/04/12,1.00000,805.29,869.04,783.93,665.21,,,,
,26/03/12,1.00000,795.02,869.67,784.56,669.78,,,,
,19/03/12,1.00000,781.28,859.75,777.98,681.27,,,,
,12/03/12,1.00000,761.42,848.71,768.51,674.81,,,,
,05/03/12,1.00000,758.42,848.13,771.15,653.17,,,,
,27/02/12,1.00000,749.42,843.89,769.3,654.29,,,,
,20/02/12,1.00000,731.74,835.06,759.6,643.49,,,,
,13/02/12,1.00000,720.67,828.71,750,639.37,,,,
,06/02/12,1.00000,716.82,828.31,744.73,617.75,,,,
,30/01/12,1.00000,712.83,829.96,746.39,615.12,,,,
,23/01/12,1.00000,711.17,832.93,756.69,626.12,,,,
,16/01/12,1.00000,701.43,824.52,748.3,631.75,,,,
,09/01/12,1.00000,676.53,805.38,720.25,628.03,,,,
,19/12/11,1.00000,652.79,804.98,715.96,580.29,,,,
,12/12/11,1.00000,650.47,805.68,720.66,583.15,,,,
,05/12/11,1.00000,649,805.7,723.84,578.52,,,,
,28/11/11,1.00000,654.78,809.03,727.88,560.69,,,,
,21/11/11,1.00000,667.57,807.79,724.32,586.67,,,,
,14/11/11,1.00000,666.48,792.5,705.05,589.45,,,,
,07/11/11,1.00000,667.59,786.41,694.95,555.73,,,,
,31/10/11,1.00000,680.32,787.19,697.38,550.69,,,,
,24/10/11,1.00000,681.81,780.67,695.73,561.72,,,,
,17/10/11,1.00000,677.64,776.04,654.56,561.46,,,,
,10/10/11,1.00000,668.27,773.76,653.44,540.74,,,,
,03/10/11,1.00000,684.49,777.79,662.15,545.87,,,,
,26/09/11,1.00000,693.83,777.58,680.22,565,,,,
,19/09/11,1.00000,699.46,773.55,672.59,553.82,,,,
,12/09/11,1.00000,696,750.03,668.62,551.95,,,,
,05/09/11,1.00000,679.78,731.97,663.1,545.37,,,,
,29/08/11,1.00000,672.97,724.18,644.98,529.18,,,,
,22/08/11,1.00000,674.63,724.58,644.56,535.91,,,,
,08/08/11,1.00000,705.85,759.03,670.02,558.3,,,,
,01/08/11,1.00000,709.78,766.21,671.65,567.66,,,,
,25/07/11,1.00000,706.4,772.57,682.25,594.3,,,,
,18/07/11,1.00000,691.81,777.47,683.35,580.73,,,,
,11/07/11,1.00000,667.09,761.71,641.31,557.66,,,,
,04/07/11,1.00000,660.99,763.63,632.15,552.48,,,,
,27/06/11,1.00000,672.35,778.91,644.33,534.63,,,,
,20/06/11,1.00000,674.48,777.55,673.86,568.87,,,,
,13/06/11,1.00000,677.97,773.78,650.05,548.64,,,,
,06/06/11,1.00000,689.75,775.38,655.43,543.02,,,,
,30/05/11,1.00000,682.31,770.53,646.76,538.11,,,,
,23/05/11,1.00000,689.22,778.11,632.66,531.4,,,,
,16/05/11,1.00000,703.3,791.05,640.44,537.21,,,,
,09/05/11,1.00000,712.17,810.25,671.02,544.89,,,,
,02/05/11,1.00000,711.11,812.34,715.35,555.06,,,,
,18/04/11,1.00000,703.26,812.17,716.9,579.72,,,,
,11/04/11,1.00000,691.16,802.29,706.18,590.26,,,,
,04/04/11,1.00000,677.57,795.24,698.3,555.88,,,,
,28/03/11,1.00000,665.62,792.86,695.15,564.47,,,,
,21/03/11,1.00000,677.33,793.68,697.63,557.33,,,,
,14/03/11,1.00000,678.47,787.91,695.12,551.26,,,,
,07/03/11,1.00000,666.43,770.13,676.47,537.53,,,,
,28/02/11,1.00000,647.91,752.69,655.79,523.07,,,,
,21/02/11,1.00000,634.42,743.89,646.17,498.88,,,,
,14/02/11,1.00000,627.39,735.16,636.65,479.15,,,,
,07/02/11,1.00000,625.85,728.78,625.37,481.65,,,,
,31/01/11,1.00000,634.09,729.09,624.95,458.26,,,,
,24/01/11,1.00000,646.72,733.75,627.23,466.2,,,,
,17/01/11,1.00000,634.26,720.58,614.87,478.1,,,,
,10/01/11,1.00000,622.59,712.17,608.87,451.63,,,,
,03/01/11,1.00000,612.82,706.34,606.27,459.44,,,,
,20/12/10,1.00000,598.56,687.98,589.51,452.69,,,,
,13/12/10,1.00000,596.73,684.7,587.84,445.92,,,,
,06/12/10,1.00000,573.31,666.26,564.46,446.63,,,,
,29/11/10,1.00000,554.33,654.55,548.72,423.25,,,,
,22/11/10,1.00000,556.12,656.21,555.23,421.82,,,,
,15/11/10,1.00000,543.86,643.85,541.27,436.02,,,,
,08/11/10,1.00000,540.1,640.16,534.34,423.05,,,,
,25/10/10,1.00000,545.78,641.87,535.2,409.57,,,,
,18/10/10,1.00000,540.68,641,532.67,413.32,,,,
,11/10/10,1.00000,526.24,636.86,505.46,420.51,,,,
,04/10/10,1.00000,524.24,634.68,505.73,408.52,,,,
,27/09/10,1.00000,538.01,638.67,505.64,416.14,,,,
,20/09/10,1.00000,540.04,637.67,505.47,430.38,,,,
,13/09/10,1.00000,529.51,629.65,493.36,431.76,,,,
,06/09/10,1.00000,523.96,626.53,493.52,429.3,,,,
,30/08/10,1.00000,527.44,622.6,493.67,426.12,,,,
,23/08/10,1.00000,536.37,612.76,475.71,437.73,,,,
,16/08/10,1.00000,542.69,591.63,493.44,436.76,,,,
,09/08/10,1.00000,541.66,590.66,493.27,448.6,,,,
,02/08/10,1.00000,551.57,604.04,505.79,428.35,,,,
,26/07/10,1.00000,537.69,605.65,493.58,436.22,,,,
,19/07/10,1.00000,541.7,629.22,486.97,446.83,,,,
,12/07/10,1.00000,547.65,644.65,495.23,434.11,,,,
,05/07/10,1.00000,554.42,652.07,484.43,438.78,,,,
,28/06/10,1.00000,558.29,654.17,511.29,442.34,,,,
,21/06/10,1.00000,554.13,645.95,511.33,438.76,,,,
,14/06/10,1.00000,549.28,640.31,509.85,438.91,,,,
,07/06/10,1.00000,546.04,637.95,508.34,429.99,,,,
,31/05/10,1.00000,552.93,641.57,507.87,413.18,,,,
,24/05/10,1.00000,575.04,656.32,508.62,435.21,,,,
,17/05/10,1.00000,578.02,656.78,566.5,456.17,,,,
,10/05/10,1.00000,581.16,655.79,565.44,454.93,,,,
,03/05/10,1.00000,577.01,644.69,553.97,449.36,,,,
,26/04/10,1.00000,573.98,636.72,549.27,444.76,,,,
,19/04/10,1.00000,577.24,635.94,547.65,444.21,,,,
,12/04/10,1.00000,570.43,623.42,535.15,445.96,,,,
,29/03/10,1.00000,561.61,611.54,524.08,423.3,,,,
,22/03/10,1.00000,559.23,608.33,522.53,416.17,,,,
,15/03/10,1.00000,550.55,602.51,515.84,417.69,,,,
,08/03/10,1.00000,529.75,591.8,510.95,417.38,,,,
,01/03/10,1.00000,528.8,583.37,500.17,416.36,,,,
,22/02/10,1.00000,512.45,565.12,482.77,408.21,,,,
,15/02/10,1.00000,505.05,559.58,483.97,398.24,,,,
,08/02/10,1.00000,513.64,560.32,478.8,406.82,,,,
,01/02/10,1.00000,512.93,561.35,481.47,394.12,,,,
,25/01/10,1.00000,512.89,562.04,485.48,397.32,,,,
,18/01/10,1.00000,517.08,566.07,494.55,401.95,,,,
,11/01/10,1.00000,505.17,546.54,479.19,411.98,,,,
,04/01/10,1.00000,485.26,525.05,457.73,383.96,,,,
,21/12/09,1.00000,475.79,502.64,448.96,381.35,,,,
,14/12/09,1.00000,484.12,506.79,453.22,376.55,,,,
,07/12/09,1.00000,483.94,507.55,453.95,381.68,,,,
,30/11/09,1.00000,488.2,511.02,456.56,382.37,,,,
,23/11/09,1.00000,485.53,512.51,456.36,393.41,,,,
,16/11/09,1.00000,492.37,518.47,460.61,392.44,,,,
,09/11/09,1.00000,494.71,519.15,460.43,386.61,,,,
,02/11/09,1.00000,490.44,519.16,457.91,377.34,,,,
,26/10/09,1.00000,478.76,514.11,449.51,380.91,,,,
,19/10/09,1.00000,457.35,507.73,433.07,358.52,,,,
,12/10/09,1.00000,455.03,513.1,473.68,351.81,,,,
,05/10/09,1.00000,456.03,514.18,473.8,350.68,,,,
,28/09/09,1.00000,469.46,521.8,481.45,357.06,,,,
,21/09/09,1.00000,475.96,526.72,456.93,360.63,,,,
,14/09/09,1.00000,484.27,531.1,462.19,363.99,,,,
,07/09/09,1.00000,496.64,540.79,471.82,367.16,,,,
,31/08/09,1.00000,507.42,543.85,483.32,380.44,,,,
,24/08/09,1.00000,512.34,543,484.15,384.75,,,,
,17/08/09,1.00000,514.52,541.19,492.44,377.05,,,,
,10/08/09,1.00000,504.39,533.72,448.78,371.97,,,,
,03/08/09,1.00000,483.01,523.96,484.37,350.08,,,,
,27/07/09,1.00000,464,510.69,468.55,351.38,,,,
,20/07/09,1.00000,462.65,511.16,485.02,340.09,,,,
,13/07/09,1.00000,476.8,528.76,412.67,332.23,,,,
,06/07/09,1.00000,486.54,536.65,412.98,353.97,,,,
,29/06/09,1.00000,458.73,536.65,422.99,348.26,,,,
,22/06/09,1.00000,508.58,531.23,436.2,352.13,,,,
,15/06/09,1.00000,490.34,513.72,408.66,355.3,,,,
,08/06/09,1.00000,475.44,495.49,408.32,344.73,,,,
,01/06/09,1.00000,469.02,475.39,411.14,326.4,,,,
,25/05/09,1.00000,454.62,477.13,403.64,326.4,,,,
,18/05/09,1.00000,435.81,477.06,402.77,321.63,,,,
,11/05/09,1.00000,418.32,472.72,397.82,312.91,,,,
,04/05/09,1.00000,417.12,475.52,396.43,289.67,,,,
,27/04/09,1.00000,417.81,477.08,398.82,289.21,,,,
,20/04/09,1.00000,405.96,473.51,396.05,290.88,,,,
,06/04/09,1.00000,403.01,472.04,395.48,272.06,,,,
,30/03/09,1.00000,391.89,461.71,382.65,277.36,,,,
,23/03/09,1.00000,375.51,452.17,366.04,268.7,,,,
,16/03/09,1.00000,376.53,453.99,367.42,267.58,,,,
,09/03/09,1.00000,373.92,457.4,368.27,266.23,,,,
,02/03/09,1.00000,367.44,459.87,369.99,261.36,,,,
,23/02/09,1.00000,386.8,479.2,388.37,261.24,,,,
,16/02/09,1.00000,382.9,482.98,396.31,278.8,,,,
,09/02/09,1.00000,374.79,486.29,401.3,269.32,,,,
,02/02/09,1.00000,364.72,487.87,402.06,265.81,,,,
,26/01/09,1.00000,360.74,491.31,407.97,258.73,,,,
,19/01/09,1.00000,350.75,494.13,409.46,256.84,,,,
,12/01/09,1.00000,332.36,490,404.19,285.78,,,,
,05/01/09,1.00000,315.63,488.32,380.95,219.27,,,,
,15/12/08,1.00000,349.4,536.87,428.07,247.1,,,,
,08/12/08,1.00000,370.06,560.04,462.71,275.14,,,,
,01/12/08,1.00000,372.23,572.12,473.9,291.28,,,,
,24/11/08,1.00000,404.26,599.67,498.04,308.52,,,,
,17/11/08,1.00000,428.02,622.64,527.79,310.57,,,,
,10/11/08,1.00000,457.11,631.39,537.33,316.9,,,,
,03/11/08,1.00000,479.93,663.3,545,357.41,,,,
,27/10/08,1.00000,487.43,655.56,551.41,357.93,,,,
,20/10/08,1.00000,529.25,689.89,567.61,380.82,,,,
,13/10/08,1.00000,583.76,735.31,667.87,416.23,,,,
,06/10/08,1.00000,609.09,748.8,653.63,454.15,,,,
,29/09/08,1.00000,618.8,750.21,669.32,461.72,,,,
,22/09/08,1.00000,613.38,745.74,659.83,411.35,,,,
,15/09/08,1.00000,641.57,773.79,633.19,464.51,,,,
,08/09/08,1.00000,647.79,783.72,667.51,490.91,,,,
,01/09/08,1.00000,643.19,782.45,663.77,507.83,,,,
,25/08/08,1.00000,635.04,776.68,664.67,495,,,,
,18/08/08,1.00000,641.06,785.73,656.45,489.84,,,,
,11/08/08,1.00000,647.81,801.56,652.09,506.55,,,,
,04/08/08,1.00000,656.13,816.88,643.07,515.19,,,,
,28/07/08,1.00000,685.37,841.78,646.97,513.05,,,,
,21/07/08,1.00000,704.91,856.25,644.62,543.13,,,,
,14/07/08,1.00000,706.46,857.77,653,562.97,,,,
,07/07/08,1.00000,705.34,850.85,640.19,558.04,,,,
,30/06/08,1.00000,702.9,851.21,645.56,519.5,,,,
,23/06/08,1.00000,702.86,854.98,646.29,507.71,,,,
,16/06/08,1.00000,693.67,854.69,650.3,505.47,,,,
,09/06/08,1.00000,688.03,859.55,650.19,473.75,,,,
,02/06/08,1.00000,679.63,858.92,642.02,474.63,,,,
,26/05/08,1.00000,670.6,839.81,650.57,472.33,,,,
,19/05/08,1.00000,664.9,819.91,649.09,459.7,,,,
,12/05/08,1.00000,627.49,766.14,677.37,457.6,,,,
,05/05/08,1.00000,623.7,756.42,668.57,434.99,,,,
,28/04/08,1.00000,598.39,736.42,655.38,430.07,,,,
,21/04/08,1.00000,590.35,725.72,649.79,427.62,,,,
,14/04/08,1.00000,583.81,689.43,635.79,418.99,,,,
,07/04/08,1.00000,578.86,686.6,634.71,401.25,,,,
,31/03/08,1.00000,577.24,689.12,637.22,404.41,,,,
,17/03/08,1.00000,579.77,677.68,634.95,398.42,,,,
,10/03/08,1.00000,580.03,658.74,620.58,403.08,,,,
,03/03/08,1.00000,581.41,654.82,618.57,399.71,,,,
,25/02/08,1.00000,572.89,639.69,608.53,410.92,,,,
,18/02/08,1.00000,555.48,620.79,585.8,406.9,,,,
,11/02/08,1.00000,545.96,612.27,563.83,380.43,,,,
,04/02/08,1.00000,549.26,614.73,562.97,399.88,,,,
,28/01/08,1.00000,553.44,619.89,563.89,390.64,,,,
,21/01/08,1.00000,565.2,634.99,572.3,390.04,,,,
,14/01/08,1.00000,574.04,645.57,579.61,415.18,,,,
,07/01/08,1.00000,562.05,647.42,579.4,425.54,,,,
,17/12/07,1.00000,548.84,639.84,564.56,403.5,,,,
,10/12/07,1.00000,554.97,619.78,571.4,392.83,,,,
,03/12/07,1.00000,569.79,651.95,582.71,399.33,,,,
,26/11/07,1.00000,568.82,647,578.37,416.41,,,,
,19/11/07,1.00000,569.66,643.87,576.87,411.85,,,,
,12/11/07,1.00000,561.9,630.93,569.14,418.26,,,,
,05/11/07,1.00000,539.46,601.24,540.97,401.87,,,,
,29/10/07,1.00000,527.32,589.98,527.12,377.18,,,,
,22/10/07,1.00000,518.09,581.62,515.44,379.18,,,,
,15/10/07,1.00000,513.43,577.76,567.08,358.97,,,,
,08/10/07,1.00000,519.46,580.35,569.69,352.35,,,,
,01/10/07,1.00000,523.39,582.68,571.97,341.5,326.46,,,
,24/09/07,1.00000,522.4,576.66,565.91,347.71,326.69,,,
,17/09/07,1.00000,520.14,565.82,555.11,347.94,322.93,,,
,10/09/07,1.00000,518.07,559.3,548.59,345.11,324.83,,,
,03/09/07,1.00000,509.9,555.36,544.69,336.01,311.99,,,
,27/08/07,1.00000,513.55,556.28,545.6,327.15,303.66,,,
,20/08/07,1.00000,515.06,555.39,544.67,338.46,313.94,,,
,13/08/07,1.00000,521.97,565.63,554.96,344.33,312.49,,,
,06/08/07,1.00000,528.37,565.23,554.6,348.7,334.22,,,
,30/07/07,1.00000,534.22,557,546.31,350.88,323.64,,,
,23/07/07,1.00000,547.54,556.07,545.41,343.72,316.76,,,
,16/07/07,1.00000,548.67,551.85,541.2,315.76,343.72,,,
,09/07/07,1.00000,546.35,549.54,538.86,346.53,311.48,,,
,02/07/07,1.00000,548.86,549.47,538.9,334.47,300.36,,,
,25/06/07,1.00000,548.76,546.92,536.36,327.93,296.34,,,
,18/06/07,1.00000,540.3,529.67,529.67,313.85,283.34,,,
,11/06/07,1.00000,549.75,540.38,529.81,312.85,282.34,,,
,04/06/07,1.00000,556.3,541.41,530.93,312.85,281.34,,,
,28/05/07,1.00000,556.15,539.52,529.37,317.56,288.33,,,
,21/05/07,1.00000,545.11,535.52,524.91,306.85,278.68,,,
,14/05/07,1.00000,543.74,535.63,525.01,304.02,284.43,,,
,07/05/07,1.00000,536.89,534.75,524.09,311.25,291.74,,,
,30/04/07,1.00000,519.4,530.57,461.86,304.38,292.72,,,
,23/04/07,1.00000,513.72,530.72,461.19,292.82,284.31,,,
,16/04/07,1.00000,506.37,525.44,457.65,289.32,278.21,,,
,02/04/07,1.00000,484,509.68,442.72,290.86,277.49,,,
,26/03/07,1.00000,469.34,504.22,438,265.8,256.99,,,
,19/03/07,1.00000,474.44,506.74,439.71,265.47,256.75,,,
,12/03/07,1.00000,472.71,504.88,436.23,269.5,256.5,,,
,05/03/07,1.00000,454.09,499.95,433.81,267.18,250.65,,,
,26/02/07,1.00000,429.38,490.91,426.46,253.17,237.49,,,
,19/02/07,1.00000,423.83,488.36,426.37,264.22,254.72,,,
,12/02/07,1.00000,423.83,488.36,426.37,264.22,254.72,,,
,05/02/07,1.00000,412.23,480.94,414.8,248.3,241.65,,,
,29/01/07,1.00000,403.99,478.59,412.47,242.63,232.71,,,
,22/01/07,1.00000,411.9,485.48,416.01,224.1,232.26,,,
,15/01/07,1.00000,428.48,497.13,429.87,235.07,245.18,,,
,08/01/07,1.00000,436.54,504.58,444.28,252.76,237.86,,,
,18/12/06,1.00000,446.71,513.48,448.77,257.86,244.58,,,
,11/12/06,1.00000,446.77,514.26,449.55,257.4,243.32,,,
,04/12/06,1.00000,442.49,509.96,444.43,245.66,258.46,,,
,27/11/06,1.00000,443.48,510.11,444.6,263.8,247.27,,,
,20/11/06,1.00000,444.33,512.65,445.44,264.9,251.08,,,
,13/11/06,1.00000,440.87,510.92,443.7,268.74,259.44,,,
,06/11/06,1.00000,443.63,515.44,449.81,266.32,248.58,,,
,30/10/06,1.00000,438.31,515.94,452.83,270.51,259.72,,,
,23/10/06,1.00000,438.52,517.57,456.95,269.3,259.59,,,
,16/10/06,1.00000,439.37,516.66,511.66,275.47,265.98,,,
,09/10/06,1.00000,442.86,518.55,513.53,261.09,251.52,,,
,02/10/06,1.00000,445.96,521.81,516.83,267.34,258.67,,,
,25/09/06,1.00000,456.09,536.15,531.14,267.19,257.61,,,
,18/09/06,1.00000,470.26,556.14,551.42,284.42,271.87,,,
,11/09/06,1.00000,498.48,571.54,566.55,299.5,273.51,,,
,04/09/06,1.00000,526.75,583.9,578.9,306.57,272.73,,,
,28/08/06,1.00000,553.08,586.12,581.25,312.97,282.58,,,
,21/08/06,1.00000,586.35,590.32,585.58,318.38,288.31,,,
,14/08/06,1.00000,603.5,590.08,585.39,346.65,307.43,,,
,07/08/06,1.00000,602.95,587.67,582.95,338.69,301.27,,,
,31/07/06,1.00000,605.51,589.54,584.92,331.36,305.18,,,
,24/07/06,1.00000,607.21,593.73,589.14,330.78,305.08,,,
,17/07/06,1.00000,586.16,585.13,580.57,332.5,307.94,,,
,10/07/06,1.00000,598.63,599.53,577.33,313.58,292,,,
,03/07/06,1.00000,549.53,562.45,557.85,319.53,295.96,,,
,26/06/06,1.00000,551.65,573.73,568.81,311.36,288.03,,,
,19/06/06,1.00000,558.77,574.44,574.44,313.6,290.26,,,
,12/06/06,1.00000,558.59,575.18,570.44,314.59,291.1,,,
,05/06/06,1.00000,555.15,575.18,575.18,326,307,,,
,29/05/06,1.00000,548.57,575.19,570.53,320.15,296.52,,,
,22/05/06,1.00000,564.02,583.7,583.7,318.62,295.14,,,
,15/05/06,1.00000,564.35,584.16,584.16,328.97,310,,,
,08/05/06,1.00000,569.32,590.55,590.55,329.68,305.92,,,
,01/05/06,1.00000,567.74,588.22,514.79,335.06,311.3,,,
,24/04/06,1.00000,548.43,572.49,504.68,336.31,312.57,,,
,10/04/06,1.00000,525.44,556.14,495.02,327.6,303.95,,,
,03/04/06,1.00000,511.21,551.91,491.61,315.29,292,,,
,27/03/06,1.00000,504.92,551.25,490.18,318.95,295.33,,,
,20/03/06,1.00000,495.58,548.54,489.16,317.97,292,,,
,13/03/06,1.00000,484.29,546.36,488.57,332.32,294.66,,,
,06/03/06,1.00000,472.41,532.55,474.01,346.94,300.59,,,
,27/02/06,1.00000,460.9,526.96,468.57,359.84,289.64,,,
,20/02/06,1.00000,460.73,520.34,467.95,357.7,297.76,,,
,13/02/06,1.00000,482.14,523.98,477.11,353.85,296.56,,,
,06/02/06,1.00000,489.46,523.82,477.67,318.17,294.86,,,
,30/01/06,1.00000,490.16,523.04,476.92,345.74,292,,,
,23/01/06,1.00000,488.34,518.8,467.65,331.89,292.1,,,
,16/01/06,1.00000,486.69,519.08,467.08,316.96,292,,,
,09/01/06,1.00000,463.86,513.86,460.13,325.67,292,,,
,19/12/05,1.00000,460.99,513.94,462.7,315.08,292,,,
,12/12/05,1.00000,451.78,511.49,456.89,315.23,292,,,
,05/12/05,1.00000,441.22,509.94,449.57,315.22,292,,,
,28/11/05,1.00000,447.97,515.84,454.62,318.09,292,,,
,21/11/05,1.00000,451.29,520.82,457.11,318.08,292,,,
,14/11/05,1.00000,453.65,526.66,461.32,318,292,,,
,07/11/05,1.00000,465.52,542.64,477.27,315.29,292,,,
,24/10/05,1.00000,502.94,569.67,513.46,315.31,292,,,
,17/10/05,1.00000,531.38,575.99,466.77,317.97,292,,,
,10/10/05,1.00000,558.43,581.02,581.02,318.01,292,,,
,03/10/05,1.00000,544.78,568.82,568.82,318.05,292,,,
,26/09/05,1.00000,515.97,555.87,555.87,317.87,292,,,
,19/09/05,1.00000,528.75,558.15,558.15,317.63,292,,,
,12/09/05,1.00000,585.52,577.99,577.99,320.94,295,,,
,05/09/05,1.00000,547.14,560.38,560.38,318.88,293,,,
,29/08/05,1.00000,491.01,543.45,543.45,304.71,279,,,
,22/08/05,1.00000,515.64,539.5,539.5,293.33,268,,,
,15/08/05,1.00000,486.68,522.27,522.27,289.26,264,,,
,08/08/05,1.00000,486.68,522.27,522.27,289.26,264,,,
,01/08/05,1.00000,480.94,520.68,520.68,284.11,259,,,
,25/07/05,1.00000,487.26,524.95,524.95,293.31,268,,,
,18/07/05,1.00000,487.26,524.95,524.95,293.31,268,,,
,11/07/05,1.00000,473.98,520.35,520.35,301.93,277,,,
,04/07/05,1.00000,471.24,516.53,516.53,288.22,263,,,
,27/06/05,1.00000,462.91,514.73,514.73,283.05,258,,,
,20/06/05,1.00000,445.97,504.56,504.56,276.95,252,,,
,13/06/05,1.00000,437.21,490.37,490.37,246.19,222,,,
,06/06/05,1.00000,419.58,462.09,462.09,246.85,222,,,
,30/05/05,1.00000,415.01,455.22,455.22,246.17,222,,,
,23/05/05,1.00000,415.1,455.57,455.57,245.13,221,,,
,16/05/05,1.00000,423.62,490.37,490.37,245.31,221,,,
,09/05/05,1.00000,440.43,477.39,477.39,244.79,221,,,
,02/05/05,1.00000,441.35,481.07,481.07,244.54,221,,,
,25/04/05,1.00000,432.03,480.22,409.01,244.83,221,,,
,18/04/05,1.00000,443.4,486.93,417.48,244.81,221,,,
,11/04/05,1.00000,453.8,490.81,421.95,244.81,221,,,
,04/04/05,1.00000,420.27,482.73,396.42,244.68,221,,,
,21/03/05,1.00000,395.52,478.32,390.68,229.65,208,,,
,14/03/05,1.00000,393.06,451.42,389.94,225.51,204,,,
,07/03/05,1.00000,383.84,430.56,377.16,222.33,201,,,
,28/02/05,1.00000,381.41,418.18,353.75,217.45,196,,,
,21/02/05,1.00000,383.16,413.46,343.97,213.21,192,,,
,14/02/05,1.00000,380.57,413.54,342.38,214.37,193,,,
,07/02/05,1.00000,380.53,415.28,346.69,204.12,183,,,
,31/01/05,1.00000,372.89,411.66,345.62,206.31,185,,,
,24/01/05,1.00000,362.09,408.43,335.57,203.34,182,,,
,17/01/05,1.00000,348.72,405.08,326.46,180.26,159.5,,,
,10/01/05,1.00000,332.81,391.48,319.88,180.36,159.5,,,
,03/01/05,1.00000,334.07,390.43,333.58,180.34,159.5,,,
,,,,,,,,,,
,,,,,,,,,,
